,State,StationID,Address,Latitude,Longitude,Month,Ridership,LN(Ridership),LOG +1,Average Rain,Average Temp,EDHLTH_RAC,EDHLTH_WAC,EMP_RAC_SC,EMP_WAC_SC,LEISER_RAC,LEISER_WAC,OTHER_RAC_,OTHER_WAC_,RETAIL_RAC,RETAIL_WAC,Total Pop,Pop Density,Median Income,HH units,Bachelors,Graduate,Alternate Commuters,ALAND,AWATER,Shape_Leng,Shape_Area,GEO.id,GEO.id2,GEO.display-label,geometry
0,CO,101,11th & Pearl,40.017535,-105.281234,Apr,272,5.605802066,1.748637759,2.5,49.1,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
1,CO,101,11th & Pearl,40.017535,-105.281234,Aug,557,6.32256524,1.800893319,1.5,70.9,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
2,CO,101,11th & Pearl,40.017535,-105.281234,Dec,139,4.934473933,1.693240859,0.7,33.4,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
3,CO,101,11th & Pearl,40.017535,-105.281234,Feb,159,5.068904202,1.704914084,0.8,35.8,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
4,CO,101,11th & Pearl,40.017535,-105.281234,Jan,137,4.919980926,1.691963419,0.7,32.5,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
5,CO,101,11th & Pearl,40.017535,-105.281234,Jul,598,6.393590754,1.805744834,1.6,72.9,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
6,CO,101,11th & Pearl,40.017535,-105.281234,Jun,536,6.284134161,1.798245448,2.1,67.1,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
7,CO,101,11th & Pearl,40.017535,-105.281234,Mar,261,5.564520407,1.745427739,1.7,41,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
8,CO,101,11th & Pearl,40.017535,-105.281234,May,352,5.863631176,1.768166645,3.1,57.9,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
9,CO,101,11th & Pearl,40.017535,-105.281234,Nov,203,5.313205979,1.725356653,1.1,40.6,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
10,CO,101,11th & Pearl,40.017535,-105.281234,Oct,296,5.690359454,1.755139701,1.2,52.9,481,2055,2289,66891,379,28036,1262,31578,167,5222,1117,0.001500707,70333,653,334,142,405,744316,0,0.037072837,7.84E-05,1500000US080130122043,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",POINT (-105.281234 40.017535)
