,State_x,Station Name,Month,Ridership,Average Rain,Average Temp,No,State_y,StationID,Address,Latitude,Longitude,Total_Annu,Average_Mo,EDHLTH_RAC,EDHLTH_WAC,EMP_RAC_SC,EMP_WAC_SC,LEISER_RAC,LEISER_WAC,OTHER_RAC_,OTHER_WAC_,RETAIL_RAC,RETAIL_WAC,geometry,index_right,OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Shape_Leng,Shape_Area,Unnamed: 0,GEO.id,HD01_VD01_x,HD01_VD01_y,HD01_VD01,HD01_VD22,HD01_VD23,GEO.id2,GEO.display-label,Alternate Commuters
0,CO,11th & Pearl,Apr,272,2.5,49.1,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
1,CO,11th & Pearl,Aug,557,1.5,70.9,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
2,CO,11th & Pearl,Dec,139,0.7,33.4,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
3,CO,11th & Pearl,Feb,159,0.8,35.8,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
4,CO,11th & Pearl,Jan,137,0.7,32.5,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
5,CO,11th & Pearl,Jul,598,1.6,72.9,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
6,CO,11th & Pearl,Jun,536,2.1,67.1,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
7,CO,11th & Pearl,Mar,261,1.7,41.0,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
8,CO,11th & Pearl,May,352,3.1,57.9,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
9,CO,11th & Pearl,Nov,203,1.1,40.6,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
10,CO,11th & Pearl,Oct,296,1.2,52.9,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
11,CO,11th & Pearl,Sep,377,1.5,62.2,79.0,CO,101.0,11th & Pearl,40.017535,-105.281234,3887.0,324.0,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009,POINT (-105.281234 40.017535),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
12,CO,13th & Arapahoe,Apr,324,2.5,49.1,80.0,CO,102.0,13th & Arapahoe,40.0146,-105.27778,4011.0,334.0,737.2668491,722.5220277,3853.545874,32902.13669,741.6879826,7858.760192,2143.82983,20639.32031,230.7612128,3681.534156,POINT (-105.27778 40.0146),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
13,CO,13th & Arapahoe,Aug,566,1.5,70.9,80.0,CO,102.0,13th & Arapahoe,40.0146,-105.27778,4011.0,334.0,737.2668491,722.5220277,3853.545874,32902.13669,741.6879826,7858.760192,2143.82983,20639.32031,230.7612128,3681.534156,POINT (-105.27778 40.0146),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
14,CO,13th & Arapahoe,Dec,111,0.7,33.4,80.0,CO,102.0,13th & Arapahoe,40.0146,-105.27778,4011.0,334.0,737.2668491,722.5220277,3853.545874,32902.13669,741.6879826,7858.760192,2143.82983,20639.32031,230.7612128,3681.534156,POINT (-105.27778 40.0146),16355.0,16356.0,08,013,012204,3,1500000US080130122043,080130122043,3,BG,744316.0,0.0,0.0370728366832,7.83956008841e-05,32.0,1500000US080130122043,1117.0,70333,653.0,334.0,142.0,80130122043.0,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405.0
